Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
Harvest Innovations,"Uses expeller pressing to turn grains, legumes and oilseeds into minimally-processed, non-GMO, organic, gluten-free ingredients.",Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,U.S. and Canada,United States,Iowa,Indianola,https://www.adm.com/news/news-releases/adm-enhances-plant-protein-gluten-free-ingredient-portfolio-with-purchase-of-harvest-innovations,2009,,Screen Shot 2021-01-08 at 7_41_45 PM.png (https://dl.airtable.com/.attachments/0a2ea8fac6ce5448d1c07d5e9f661334/12a64eef/ScreenShot2021-01-08at7_41_45PM.png)
DONGYU USI,"Sports nutrition, food and beverage, health and beauty, and pet industry ingredient supplier. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Soy,Pea","Global,U.S. and Canada",United States,California,Tustin,https://dongyu.us,2006,,image.jpeg (https://dl.airtable.com/.attachments/5c48277b1dfc6a3ef6efb6b0296aa686/ccaaf4ba/image.jpeg)
Prolupin GmbH,Produces ingredients from lupine because of its rich protein content. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Lupine,"Global,Europe",Germany,"Grimmen, Mecklenburg-Vorpommern","Grimmen, Mecklenburg-Vorpommern",https://www.prolupin.com/indexen.html,2010,,image.jpeg (https://dl.airtable.com/.attachments/a009b2de063a0b14420c60cf3eab6460/c29d635f/image.jpeg)
Beneo,"Ingredients company for human, animal, and pharma industries",Plant-based,Ingredients and inputs,Ingredient optimization,,,Rice,"Global,Europe",Germany,"Manheim, Germany","Manheim, Germany",https://www.beneo.com,,,BENEOLogo270x100px.svg (https://dl.airtable.com/.attachments/cd8f06116f1ec8099edcf3fa4c2c3b67/8c64bb21/BENEOLogo270x100px.svg)
Brookside Flavors ,"Specializes in the natural, organic flavors and ingredients",Plant-based,Ingredients and inputs,Ingredient optimization,,,,U.S. and Canada,United States,New Jersey,Branchburg,https://brooksideflavors.com,,,Screen Shot 2021-01-14 at 1_27_13 PM.png (https://dl.airtable.com/.attachments/6cc6b712eea0d778bef595fc4c456d98/d1227c56/ScreenShot2021-01-14at1_27_13PM.png)
Pacific Soybean & Grain,Producer of non-GMO soy and wheat products. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Wheat,Soy",U.S. and Canada,United States,California,San Mateo,https://www.pacificsoy.com,1973,,"image.gif (https://dl.airtable.com/.attachments/caddba7f6ae25662e512fc2521846838/2ed6eff2/image.gif),image.png (https://dl.airtable.com/.attachments/d90083385d11dc485a5306514a25d9a5/4dc13e18/image.png)"
Olvebra Industrial S.A.,Manufacturer of powdered soy extracts for people with specific dietary needs. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,"Global,Latin America",Brazil,"Eldorado do Sul, Brazil","Eldorado do Sul, Brazil",https://olvebra.com.br,1955,Charles Kung Wei Tse  and Sheun Ming Ling,Screen Shot 2021-01-13 at 7_45_44 PM.png (https://dl.airtable.com/.attachments/3a100d71157968c9e9bfe087ac2e0e8a/6abb4eaa/ScreenShot2021-01-13at7_45_44PM.png)
Cargill Food Ingredients,The world's top producers and distributors of agricultural products (See Puris). ,Plant-based,"Ingredients and inputs,Contract manufacturing/processing",Ingredient optimization,"Ground meat,Other meat,Other","Chicken,Beef/veal","Soy,Pea,Corn",Global,United States,Minnesota,Wayzata,https://www.cargill.com/food-beverage/na/plant-proteins,1865,William Wallace Cargill,Cargill.png (https://dl.airtable.com/.attachments/fd836e91fc88b3a41c66ed2be62657f6/fb0c15ef/Cargill.png)
Axiom Foods,Hypoallergenic producer of protein concentrates,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Rice,Soy,Pea,Hemp","Global,U.S. and Canada",United States,California,Los Angeles,http://axiomfoods.com,2005,,"image.jpeg (https://dl.airtable.com/.attachments/da795405d085a9fcc61447e861880368/3fa0458a/image.jpeg),image.png (https://dl.airtable.com/.attachments/b38acc7ef02794de6c7dc40b0eab1726/0f5d70cd/image.png)"
"Honeyville Food Products, Inc.",Provides corporations and at-home bakers with their baking ingredient needs. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Wheat,U.S. and Canada,United States,California,Rancho Cucamunga,https://honeyville.com,1951,Lowell Sherratt Sr.,image.png (https://dl.airtable.com/.attachments/c55b962635a04f7e61f8fa45d378248c/f9c18852/image.png)
"Emerling International Foods, Inc.","Family-owned trading, processing, and food storage firm. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,,U.S. and Canada,United States,New York,Buffalo,https://emerlinginternational.com,,,image.png (https://dl.airtable.com/.attachments/66684d88b3e3ccb391bdd29dbc71208c/45b0ee79/image.png)
Dipasa USA,Researches and develops sesame seed oil production,Plant-based,Ingredients and inputs,Ingredient optimization,,,,"Global,U.S. and Canada",United States,Texas,Brownsville,http://www.dipasausa.com/website/webshop/product-catalog/categoryid/1/catname/sesame_oil.aspx?gclid=Cj0KCQiA3NX_BRDQARIsALA3fIKfZ2xBZjfeY6guyOUE_uuQhOkWC4V1iZVLA5m6fGs7_oFF-UvKWhYaAgdDEALw_wcB,1985,,image.jpeg (https://dl.airtable.com/.attachments/f29719dbe3f7d369dba005522ec52099/f584cb8f/image.jpeg)
Dutch Organic International Trade,Imports and exports organic food ingredients and consumer goods ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Fava bean,Pea,Rice,Soy",Europe,Netherlands,"Barnevald, Netherlands","Barnevald, Netherlands",https://www.organic.nl,1991,,Screen Shot 2021-01-08 at 3_23_55 PM.png (https://dl.airtable.com/.attachments/17110aa533347197397929b6a0320313/3ca76625/ScreenShot2021-01-08at3_23_55PM.png)
"NewOrganics, Inc.",Small-scale producer of niche ingredients for buyers. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Sunflower,Canola,Coconut",U.S. and Canada,United States,California,Kenwood,www.neworganics.com,2009,,Screen Shot 2021-01-11 at 6_28_43 PM.png (https://dl.airtable.com/.attachments/531f7c04ace4ceac5ade298978d22d28/41aa76da/ScreenShot2021-01-11at6_28_43PM.png)
Ingredients Inc.,"Ingredients supplier to food and beverage, pet food, and nutraceutical manufacturers ",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Chickpea,Mung Bean,Fava bean,Oat,Soy,Rice,Lentils,Quinoa,Sunflower,Wheat,Lupine","U.S. and Canada,Latin America",United States,Illinois,Buffalo Grove,https://www.ingredientsinc.com,1985,,image.png (https://dl.airtable.com/.attachments/7d34786f6131f3eab2dfc509d86e8e3c/c3e15e04/image.png)
W. Ruitenberg Czn N.V.,Manufactures innovative meat substitutions and ingredients. ,Plant-based,"Ingredients and inputs,Contract manufacturing/processing",Ingredient optimization,,,"Whey,Pea,Soy,Fava bean",Europe,Netherlands,"Amersfoort, Netherlands","Amersfoort, Netherlands",https://ruitenberg.com,,,Screen Shot 2021-01-20 at 2_00_22 PM.png (https://dl.airtable.com/.attachments/1a8272828627f50a63a2225c5a577645/98fabb60/ScreenShot2021-01-20at2_00_22PM.png)
Frank Food Products,"Creates single ingredients by processing lupin, soy, and grains. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Lupine,Soy,Oat",Europe,Netherlands,"Twello, Netherlands","Twello, Netherlands",https://www.frankfoodproducts.com/index.asp,1753,,Screen Shot 2021-01-08 at 5_11_54 PM.png (https://dl.airtable.com/.attachments/2ff776733fd3ab0a96073ef54e88ef5c/7520a0fa/ScreenShot2021-01-08at5_11_54PM.png)
"CBH Qingdao Co., Ltd.",Provides cost effective ingredients and additives ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Wheat","Global,Asia Pacific",China,"Hong King, China","Hong King, China",http://www.cbhcn.com,,,image.png (https://dl.airtable.com/.attachments/eaef47af8afaa311ab1c8577417cb733/57cf848f/image.png)
"Tianjin Huge Roc Enterprises Co., Ltd.",Manufactures food & feed additives and ingredients. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Other,"Global,Asia Pacific",China,"Tianjin, China","Tianjin, China",http://www.foodton.cn/?fbclid=IwAR2k0Ogt40qgJsu5D_yCidal1kKR8x5X1gdimQnLiEIZuV_scU-A2P6PlsI,,,image.png (https://dl.airtable.com/.attachments/2a39696eee52c53ce696df5715e0e469/8776f62f/image.png)
"Shandong Bangye Co., Ltd.","Manufactures and markets agricultural ingredients, machinery, chemical ingredients. ",Plant-based,Ingredients and inputs,"Ingredient optimization,Crop development",,,"Rice,Soy,Pea,Wheat","Global,Asia Pacific",China,"Shandong, China","Shandong, China",http://www.bangye.com,,,Screen Shot 2021-01-14 at 2_02_12 PM.png (https://dl.airtable.com/.attachments/95eef43eb6018d4150872660171e5849/c47e056b/ScreenShot2021-01-14at2_02_12PM.png)
"Shaanxi TOP Pharm Chemical Co., Ltd.","Creates healthy and green fine chemicals, medicines dosage, food additives and fine chemicals for  human life and pharmaceuticals. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,"Global,Asia Pacific",China,"Xi'an, China ","Xi'an, China ",http://www.top-pharmchem.com/EN/index.asp,1997,,Screen Shot 2021-01-14 at 1_49_47 PM.png (https://dl.airtable.com/.attachments/6c6a20bb233f2f140d098b39eefab622/b2d504f4/ScreenShot2021-01-14at1_49_47PM.png)
Calpro Foods Pvt. Ltd.,Manufactures and markets bakery ingredients ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Wheat,Asia Pacific,India ,"New Delhi, India","New Delhi, India",http://www.calprofoods.com/index.html,,,image.png (https://dl.airtable.com/.attachments/6b71315791562cb05c48e214a8c272f9/c064a594/image.png)
"Suzanne's Specialties, Inc.","Producer and packer of naturally-sweetened grain-based products, including non-GMO sweeteners and gluten-free sweeteners. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,Rice,U.S. and Canada,United States,New Jersey,New Brunswick,https://suzannes-specialties.com,1984,,Screen Shot 2021-01-14 at 2_35_12 PM.png (https://dl.airtable.com/.attachments/688e881e6092319ebcdc87a3f6381d0a/b8e0f727/ScreenShot2021-01-14at2_35_12PM.png)
RiceBran Technologies,"A specialty ingredient company focused producing, processing of small grains. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,Rice,"Global,U.S. and Canada",United States,Arizona,Scottsdale,https://www.ricebrantech.com,2000,,image.png (https://dl.airtable.com/.attachments/bb9aa98a9560b045eeae8319400e6d28/f2cf90c5/image.png)
"Zhejiang Wecan Biotechnology Co., Ltd.","Develops, produces, and sells food, additives, and pharmaceutical ingredients.  ",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Soy,Other","Global,Asia Pacific",China,"Zhejiang Province, China","Zhejiang Province, China",http://www.wecanbio.com/index_en.html,1998,,Screen Shot 2021-01-20 at 2_17_00 PM.png (https://dl.airtable.com/.attachments/ca8ec01d56daeab38a683bc76b86694a/20fca12a/ScreenShot2021-01-20at2_17_00PM.png)
DKSH,"Offers sourcing, marketing, sales, distribution and after-sales-services across the consumer goods, healthcare, and technology industries",Plant-based,Ingredients and inputs,,,,,"Global,U.S. and Canada",United States,New Jersey,Mount Olive,https://www.dksh.com/us-en/home,,,logo_dksh.svg (https://dl.airtable.com/.attachments/18839a117362b19b81ffd46ae98996fb/8038fd2f/logo_dksh.svg)
Solabia Group,"Processes ingredients for the cosmetics, pharmaceutical and food industries.",Plant-based,Ingredients and inputs,Ingredient optimization,,,Other,"Global,Europe",France,"Cedex, France","Cedex, France",https://www.solabia.com,,,Screen Shot 2021-01-20 at 2_34_26 PM.png (https://dl.airtable.com/.attachments/833337dbca659abf4f491bf6a77705da/96d47f4d/ScreenShot2021-01-20at2_34_26PM.png)
Fazer,Crafts foods and delicacies in a sustainable way. Primarily Nordic foods. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Other,Europe,Finland,"Helsinki, Finland","Helsinki, Finland",https://www.fazer.com,1891,Karl Fazer,Screen Shot 2021-01-08 at 4_22_36 PM.png (https://dl.airtable.com/.attachments/db0b656f23c8cd80fe1c59afa2d8b6e0/e8bf3d5f/ScreenShot2021-01-08at4_22_36PM.png)
"Yantai Oriental Protein Tech. Co., Ltd.",Processing plant of pea products. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Pea,"Global,Asia Pacific",China,"Shandong, China","Shandong, China",https://orientalprotein.en.alibaba.com,2008,,image.png (https://dl.airtable.com/.attachments/8b3d152d2db4ac4e14cff80afe797b7d/5d489a61/image.png)
"Daqing Sun Moon Star Protein Co., Ltd.",Producer and distributor of soy protein products ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,Asia Pacific,China,"Daqing, China","Daqing, China",http://soyproteinsupplier.en.china.cn,,,image.jpeg (https://dl.airtable.com/.attachments/2244299dc88339bff8d10078cad8729b/f798ba2e/image.jpeg)
The Scoular Company,"Dedicated to the buying, selling, storage, handling, transportation, and processing of grain and food ingredients.",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Barley,Flaxseed,Pea,Lentils,Soy,Wheat",U.S. and Canada,United States,Nebraska,Omaha,https://www.scoular.com,1892,George Scoular ,Screen Shot 2021-01-20 at 1_37_50 PM.png (https://dl.airtable.com/.attachments/600743a1b3c422eeb2dff715398aa5b6/fce83f14/ScreenShot2021-01-20at1_37_50PM.png)
"Fenchem, Inc.","A global manufacturer and marketer of ingredients for nutrition & food, cosmetic & personal care, feed & pet food and coating & construction industries.",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Soy,Pea","Global,Asia Pacific",China,"Nanjing, China","Nanjing, China",http://www.fenchem.com,1995,,Screen Shot 2021-01-08 at 4_30_51 PM.png (https://dl.airtable.com/.attachments/4169e7d9b62a03ab759d00016492911d/d43a8dcd/ScreenShot2021-01-08at4_30_51PM.png)
CHS Inc.,Large agribusiness. Also provides nutrients and crop protection for farmers,Plant-based,Ingredients and inputs,"Ingredient optimization,Crop development",,,"Soy,Canola,Sunflower","Global,U.S. and Canada",United States,Minnesota,Inver Grove Heights ,https://www.chsinc.com,1929,,image.png (https://dl.airtable.com/.attachments/e1ff2064188007d677341bd05ddf9396/c2b57d44/image.png)
Andean Naturals,Builds partnerships with quinoa farmers in Bolivia,Plant-based,Ingredients and inputs,Ingredient optimization,,,Quinoa,Latin America,United States,California,Yuba City ,https://www.andeannaturals.com,2004,,Screen Shot 2021-01-05 at 5_42_00 PM.png (https://dl.airtable.com/.attachments/1156431aa80b483ce48c7dfa28bf6bbf/a9ed614c/ScreenShot2021-01-05at5_42_00PM.png)
Green Source Organics,Manufacturer of natural ingredients with a specialty focused on producing fruit and vegetable concentrates. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Hemp,Potato,Rice","Global,U.S. and Canada",United States,California,Ventura,https://www.gsoextracts.com,,,Screen Shot 2021-01-08 at 6_03_35 PM.png (https://dl.airtable.com/.attachments/a84c5f5084400384f336142355471eec/c5d60a63/ScreenShot2021-01-08at6_03_35PM.png)
"Dezhou Ruikang Food Co., Ltd.",Highly technological manufacturer and processor of soybeans ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,"Europe,U.S. and Canada,Asia Pacific",China,"Shandong, China","Shandong, China",,2002,,image.jpeg (https://dl.airtable.com/.attachments/f98812c26dad9df16c573b1cf3c22691/459a3c00/image.jpeg)
"Shandong Sinoglory Health Food Co., Ltd.","Manufactures soybean oil, cake, and meal, and soybean protein isolates and concentrates.",Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,"Global,Asia Pacific",China,"Qingdao, China","Qingdao, China",http://www.sinoglory.cn,2000,,Screen Shot 2021-01-14 at 2_10_10 PM.png (https://dl.airtable.com/.attachments/66588776a0891a43dd2294571140ece8/a20f2572/ScreenShot2021-01-14at2_10_10PM.png)
Nex-xus Distribution,"Distributes ingredients for the food, beverage, and sports nutrition industries. ",Plant-based,Ingredients and inputs,,,,"Soy,Hemp,Rice,Pea,Fava bean",U.S. and Canada,Canada,Quebec,Montreal,http://nexxusfoods.com/en/,2004,,Screen Shot 2021-01-11 at 6_31_30 PM.png (https://dl.airtable.com/.attachments/8c9005388135f5808dbbbca656263b05/f4ac84b5/ScreenShot2021-01-11at6_31_30PM.png)
"Hainan Zhongxin Wanguo Chemical Co., Ltd.",Delivers raw materials and ingredients to the natural and functional food sectors. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Other,"Global,Asia Pacific",China,"Hainan, China","Hainan, China",https://hnwgchem.en.alibaba.com/,2010,,image.png (https://dl.airtable.com/.attachments/620f2bf55bf153269202af39593dbb8d/18b5f5a2/image.png)
